CategoryID,Segment name,Display,Gmail,Discovery,Search,Shopping,Video
80533,/Business Services/Office Supplies/Office Furniture,YES,YES,YES,YES,NO,YES
80523,/Business Services/Payment Processing & Merchant Services,YES,YES,YES,YES,NO,YES
80524,/Business Services/Payroll Services,YES,YES,YES,YES,NO,YES
80525,/Business Services/Physical Security & Access Control,NO,NO,NO,YES,NO,YES
80526,/Business Services/Staffing & Recruitment Services,YES,YES,YES,YES,NO,YES
80193,/Computers & Peripherals,YES,YES,YES,YES,NO,YES
80195,/Computers & Peripherals/Computer Accessories & Components,YES,YES,YES,YES,NO,YES
80200,/Computers & Peripherals/Computer Accessories & Components/Computer Monitors,YES,YES,YES,YES,NO,YES
80201,/Computers & Peripherals/Computer Accessories & Components/Memory & Storage,YES,YES,YES,YES,NO,YES
80194,/Computers & Peripherals/Computers,YES,YES,YES,YES,NO,YES
80197,/Computers & Peripherals/Computers/Desktop Computers,YES,YES,YES,YES,NO,YES
80198,/Computers & Peripherals/Computers/Laptops & Notebooks,YES,YES,YES,YES,NO,YES
80199,/Computers & Peripherals/Computers/Tablets & Ultraportable Devices,YES,YES,YES,YES,NO,YES
80196,"/Computers & Peripherals/Printers, Scanners & Faxes",YES,YES,YES,YES,NO,YES
80207,/Consumer Electronics,YES,YES,YES,YES,NO,YES
80210,/Consumer Electronics/Audio,YES,YES,YES,YES,NO,YES
80218,/Consumer Electronics/Audio/Car Audio,NO,NO,NO,YES,NO,YES
80888,/Consumer Electronics/Audio/Headphones & Headsets,YES,YES,NO,YES,NO,YES
80220,/Consumer Electronics/Audio/Pro Musician & DJ Equipment,YES,YES,YES,YES,NO,YES
80221,/Consumer Electronics/Audio/Speakers,YES,YES,YES,YES,NO,YES
80222,/Consumer Electronics/Audio/Stereo Systems,YES,YES,YES,YES,NO,YES
80890,/Consumer Electronics/Batteries,YES,YES,NO,NO,NO,YES
80209,/Consumer Electronics/Camcorders,YES,YES,YES,YES,NO,YES
80208,/Consumer Electronics/Cameras,YES,YES,YES,YES,NO,YES
80223,/Consumer Electronics/Cameras/Camera Lenses,YES,YES,YES,YES,NO,YES
80224,/Consumer Electronics/Cameras/Digital SLRs,YES,YES,YES,YES,NO,YES
80244,/Consumer Electronics/Game Consoles,YES,YES,YES,YES,NO,YES
80245,/Consumer Electronics/Game Consoles/Nintendo Consoles,YES,YES,YES,YES,NO,YES
80246,/Consumer Electronics/Game Consoles/Sony PlayStation,YES,YES,YES,YES,NO,YES
80247,/Consumer Electronics/Game Consoles/Xbox,YES,YES,YES,YES,NO,YES
80213,/Consumer Electronics/Home Theater Systems,YES,YES,YES,YES,NO,YES
80889,/Consumer Electronics/Mobile Phone Accessories,YES,YES,NO,YES,NO,YES
80286,/Consumer Electronics/Mobile Phones,YES,YES,YES,YES,NO,YES
80691,/Consumer Electronics/Mobile Phones/Android Phones,NO,NO,YES,YES,NO,YES
80692,/Consumer Electronics/Mobile Phones/iOS Phones,NO,NO,YES,YES,NO,YES
80934,/Consumer Electronics/Power Adapters & Chargers,NO,YES,NO,NO,NO,YES
80211,/Consumer Electronics/Televisions,YES,YES,YES,YES,NO,YES
80592,/Dating Services,YES,YES,YES,YES,NO,YES
80226,/Education,YES,YES,YES,YES,NO,YES
80227,/Education/Foreign Language Study,YES,YES,YES,YES,NO,YES
80228,/Education/Post-Secondary Education,YES,YES,YES,YES,NO,YES
80232,/Education/Post-Secondary Education/Arts & Design Education,YES,YES,YES,YES,NO,YES
80233,/Education/Post-Secondary Education/Business Education,YES,YES,YES,YES,NO,YES
80285,/Education/Post-Secondary Education/Cosmetology Education & Training,YES,YES,YES,YES,NO,YES
80234,/Education/Post-Secondary Education/Health Care Education,NO,NO,NO,YES,NO,YES
80236,/Education/Post-Secondary Education/Health Care Education/Nursing Education,NO,NO,NO,YES,NO,YES
80235,/Education/Post-Secondary Education/Technology Education,YES,YES,YES,YES,NO,YES
80229,/Education/Primary & Secondary Schools (K-12),YES,YES,YES,YES,NO,YES
80230,/Education/Study Abroad Programs,YES,YES,YES,YES,NO,YES
80231,/Education/Test Preparation & Tutoring,YES,YES,YES,YES,NO,YES
80412,/Employment,YES,YES,YES,YES,NO,YES
80413,/Employment/Accounting & Finance Jobs,YES,YES,YES,YES,NO,YES
